county,state,poverty_perc,percent_high_cholesterol
Beaufort,NC,18.1,37.7
Bertie,NC,22.8,37.7
Bladen,NC,21.6,38.3
Brunswick,NC,11.2,41.7
Cabarrus,NC,8.0,33.2
Camden,NC,7.4,35.4
Carteret,NC,9.3,38.5
Caswell,NC,15.4,37.3
Chatham,NC,9.6,36.4
Chowan,NC,17.3,38.4
Columbus,NC,21.3,37.1
Craven,NC,13.2,33.4
Cumberland,NC,18.5,29.0
Currituck,NC,9.6,35.4
Dare,NC,8.8,37.8
Davidson,NC,12.0,36.7
Davie,NC,9.6,37.2
Duplin,NC,18.3,36.0
Durham,NC,11.7,29.1
Edgecombe,NC,24.1,37.0
Forsyth,NC,13.0,33.1
Franklin,NC,12.0,35.7
Gates,NC,13.2,37.3
Granville,NC,15.0,35.2
Greene,NC,21.3,34.5
Guilford,NC,13.3,32.6
Halifax,NC,23.9,37.9
Harnett,NC,14.4,31.5
Hertford,NC,20.7,35.2
Hoke,NC,15.0,31.0
Hyde,NC,20.0,38.1
Johnston,NC,11.4,33.9
Jones,NC,18.3,39.2
Lee,NC,15.4,33.8
Lenoir,NC,17.2,36.3
Martin,NC,20.1,38.6
Montgomery,NC,16.0,36.4
Moore,NC,9.3,36.3
Nash,NC,14.9,35.4
New Hanover,NC,10.2,33.9
Northampton,NC,21.7,39.5
Onslow,NC,12.5,27.1
Orange,NC,10.3,29.1
Pamlico,NC,14.7,40.7
Pasquotank,NC,14.0,33.7
Pender,NC,12.3,37.3
Perquimans,NC,14.4,39.6
Person,NC,13.5,36.3
Pitt,NC,17.1,31.7
Randolph,NC,14.2,36.2
Richmond,NC,21.5,36.1
Robeson,NC,26.6,36.4
Rockingham,NC,13.8,37.4
Rowan,NC,14.4,35.1
Sampson,NC,21.2,35.3
Scotland,NC,29.7,37.0
Stanly,NC,14.5,36.2
Stokes,NC,12.1,38.2
Tyrrell,NC,20.8,36.5
Union,NC,7.0,32.7
Vance,NC,21.3,36.5
Wake,NC,7.4,30.2
Warren,NC,22.8,38.9
Washington,NC,24.3,39.1
Wayne,NC,14.9,33.6
Wilson,NC,21.2,35.6
Berkeley,SC,11.1,34.7
Charleston,SC,11.9,34.1
Chesterfield,SC,19.7,39.3
Clarendon,SC,18.4,40.0
Darlington,SC,18.9,38.5
Dillon,SC,22.2,39.3
Dorchester,SC,12.1,36.0
Florence,SC,17.1,34.7
Georgetown,SC,15.1,40.7
Horry,SC,12.8,38.4
Kershaw,SC,14.4,38.4
Lee,SC,23.0,36.9
Marion,SC,21.8,38.0
Marlboro,SC,26.0,38.9
Sumter,SC,20.5,34.8
Williamsburg,SC,25.4,40.1
Accomack,VA,17.6,36.5
Albemarle,VA,6.3,31.4
Alleghany,VA,11.7,38.0
Amelia,VA,9.0,38.1
Amherst,VA,11.2,35.7
Appomattox,VA,12.6,35.1
Augusta,VA,8.3,37.4
Bath,VA,11.2,39.9
Bedford County,VA,6.8,36.4
Botetourt,VA,6.6,36.7
Brunswick,VA,20.2,35.9
Buckingham,VA,16.8,35.4
Campbell,VA,8.9,35.5
Caroline,VA,9.8,33.4
Charles City,VA,9.9,37.9
Charlotte,VA,17.2,39.1
Chesterfield,VA,6.6,32.6
Craig,VA,10.4,37.4
Cumberland,VA,13.5,36.5
Dinwiddie,VA,11.1,35.2
Essex,VA,12.3,37.7
Floyd,VA,10.9,35.9
Fluvanna,VA,6.8,34.5
Franklin County,VA,11.5,38.5
Gloucester,VA,7.9,34.8
Goochland,VA,5.8,36.2
Greene,VA,8.1,35.6
Greensville,VA,21.5,33.6
Halifax,VA,17.8,36.5
Hanover,VA,5.0,34.6
Henrico,VA,8.3,31.3
Henry,VA,12.9,37.4
Isle of Wight,VA,7.6,36.0
James City,VA,6.5,36.5
King and Queen,VA,11.1,37.8
King George,VA,6.0,30.8
King William,VA,6.2,33.7
Lancaster,VA,10.3,41.5
Louisa,VA,7.9,37.4
Lunenburg,VA,16.5,36.2
Mathews,VA,8.5,39.5
Mecklenburg,VA,15.4,38.2
Middlesex,VA,11.6,40.6
Montgomery,VA,19.3,27.3
Nelson,VA,10.7,38.4
New Kent,VA,4.6,34.8
Northampton,VA,16.2,37.5
Northumberland,VA,12.3,39.5
Nottoway,VA,19.2,34.7
Orange,VA,9.4,35.9
Patrick,VA,14.2,38.6
Pittsylvania,VA,14.0,38.2
Powhatan,VA,5.3,34.4
Prince Edward,VA,23.6,29.4
Prince George,VA,8.2,32.4
Richmond County,VA,16.0,34.1
Roanoke County,VA,6.0,35.6
Rockbridge,VA,10.5,38.6
Southampton,VA,12.5,37.1
Spotsylvania,VA,6.6,32.5
Surry,VA,11.6,37.4
Sussex,VA,18.9,32.5
Westmoreland,VA,12.9,37.2
York,VA,4.7,32.6
Buena Vista,VA,14.0,35.2
Charlottesville,VA,15.8,26.5
Chesapeake,VA,7.6,32.3
Colonial Heights,VA,8.7,33.7
Covington,VA,14.8,36.8
Danville,VA,22.1,35.1
Emporia,VA,19.1,36.1
Franklin City,VA,18.1,35.2
Fredericksburg,VA,12.2,27.8
Hampton,VA,13.4,30.0
Hopewell,VA,17.4,33.0
Lexington,VA,18.5,26.1
Lynchburg,VA,15.5,27.0
Martinsville,VA,21.3,34.5
Newport News,VA,14.5,28.7
Norfolk,VA,17.6,25.8
Petersburg,VA,20.8,32.4
Poquoson,VA,4.7,34.7
Portsmouth,VA,15.3,30.2
Radford,VA,24.6,24.6
Richmond City,VA,17.9,29.4
Roanoke City,VA,15.9,32.7
Salem,VA,9.0,34.2
Staunton,VA,12.3,33.9
Suffolk,VA,9.0,33.8
Virginia Beach,VA,8.1,31.0
Waynesboro,VA,11.3,34.2
Williamsburg,VA,16.8,26.7
Greenbrier,WV,17.8,39.6
Monroe,WV,15.3,41.8
Kent,DE,13.0,32.7
New Castle,DE,10.1,31.7
Sussex,DE,11.0,40.0
District of Columbia,DC,15.0,26.6
Allegany,MD,14.7,31.7
Anne Arundel,MD,5.2,32.2
Baltimore County,MD,8.9,33.1
Calvert,MD,5.3,34.9
Caroline,MD,12.4,36.2
Carroll,MD,5.2,35.5
Cecil,MD,8.8,35.5
Charles,MD,7.4,33.3
Dorchester,MD,14.9,35.7
Frederick,MD,6.2,34.4
Garrett,MD,12.8,37.5
Harford,MD,6.2,34.0
Howard,MD,5.5,33.0
Kent,MD,12.0,36.1
Montgomery,MD,6.7,33.4
Prince George's,MD,9.5,32.7
Queen Anne's,MD,6.9,33.9
Talbot,MD,9.6,37.3
Washington,MD,12.3,34.6
Wicomico,MD,14.2,34.0
Baltimore City,MD,20.0,30.9
Allegany,NY,15.1,33.6
Broome,NY,18.4,34.0
Cattaraugus,NY,16.3,36.0
Cayuga,NY,11.7,36.7
Chautauqua,NY,14.8,34.1
Chemung,NY,14.5,33.9
Chenango,NY,11.5,34.4
Cortland,NY,11.7,30.9
Delaware,NY,12.8,36.8
Erie,NY,13.2,32.8
Franklin,NY,15.9,33.6
Fulton,NY,13.9,34.1
Genesee,NY,10.2,32.9
Greene,NY,11.2,35.8
Hamilton,NY,8.7,39.6
Herkimer,NY,12.1,34.4
Jefferson,NY,13.1,29.9
Lewis,NY,11.4,34.1
Livingston,NY,10.3,32.3
Madison,NY,10.4,34.4
Monroe,NY,13.9,30.7
Montgomery,NY,11.9,33.8
Niagara,NY,11.7,34.4
Oneida,NY,12.4,34.9
Onondaga,NY,12.8,32.9
Ontario,NY,8.8,33.4
Orange,NY,10.6,31.9
Orleans,NY,13.2,34.5
Oswego,NY,14.2,32.3
Otsego,NY,12.8,32.4
Richmond,NY,10.6,30.8
St. Lawrence,NY,14.7,34.0
Schoharie,NY,11.0,34.4
Schuyler,NY,11.8,35.5
Seneca,NY,12.1,33.9
Steuben,NY,12.1,35.2
Sullivan,NY,12.7,33.1
Tioga,NY,9.3,34.5
Tompkins,NY,12.4,26.8
Ulster,NY,12.7,34.0
Wayne,NY,9.7,35.2
Wyoming,NY,9.6,34.5
Yates,NY,12.9,34.8
Adams,PA,8.0,34.9
Allegheny,PA,10.5,30.6
Armstrong,PA,11.7,35.0
Beaver,PA,9.1,37.0
Bedford,PA,11.0,36.5
Berks,PA,10.9,31.8
Blair,PA,11.6,35.4
Bradford,PA,10.7,35.5
Bucks,PA,6.0,33.9
Butler,PA,7.4,33.0
Cambria,PA,12.5,35.0
Cameron,PA,13.5,39.2
Carbon,PA,11.3,36.0
Centre,PA,12.9,28.2
Chester,PA,5.2,32.0
Clarion,PA,12.8,33.8
Clearfield,PA,14.3,34.7
Clinton,PA,13.4,33.7
Columbia,PA,11.7,33.2
Crawford,PA,12.7,34.5
Cumberland,PA,7.6,31.4
Dauphin,PA,11.6,33.1
Delaware,PA,9.3,31.5
Elk,PA,8.3,36.9
Erie,PA,13.4,34.9
Fayette,PA,18.7,35.2
Forest,PA,22.9,33.3
Franklin,PA,9.4,33.5
Fulton,PA,10.6,36.2
Greene,PA,12.7,33.9
Huntingdon,PA,10.7,34.1
Indiana,PA,13.4,33.1
Jefferson,PA,11.0,36.0
Juniata,PA,10.0,36.1
Lackawanna,PA,12.2,31.8
Lancaster,PA,7.7,31.0
Lawrence,PA,12.9,34.1
Lebanon,PA,9.0,32.6
Lehigh,PA,11.7,31.6
Luzerne,PA,15.1,34.0
Lycoming,PA,13.2,33.0
McKean,PA,13.9,34.4
Mercer,PA,12.4,34.7
Mifflin,PA,13.2,36.0
Monroe,PA,10.5,31.8
Montgomery,PA,5.6,31.4
Montour,PA,9.0,35.0
Northampton,PA,7.6,31.8
Northumberland,PA,12.1,36.0
Perry,PA,8.5,34.7
Philadelphia,PA,19.4,30.8
Pike,PA,9.3,35.8
Potter,PA,12.2,37.1
Schuylkill,PA,12.7,35.3
Snyder,PA,10.1,33.5
Somerset,PA,11.7,36.2
Sullivan,PA,12.3,38.2
Susquehanna,PA,11.6,37.0
Tioga,PA,11.5,35.3
Union,PA,11.1,30.3
Venango,PA,14.0,37.0
Warren,PA,11.1,36.5
Washington,PA,8.6,33.9
Wayne,PA,10.5,36.5
Westmoreland,PA,9.3,36.8
Wyoming,PA,10.4,33.7
York,PA,7.1,31.9
Arlington,VA,6.0,27.5
Clarke,VA,6.2,36.6
Culpeper,VA,8.5,33.6
Fairfax County,VA,5.3,31.2
Fauquier,VA,6.0,33.8
Frederick,VA,7.4,33.8
Highland,VA,12.2,42.5
Loudoun,VA,3.2,29.7
Madison,VA,9.4,37.2
Page,VA,11.3,37.1
Prince William,VA,4.9,28.7
Rappahannock,VA,8.9,38.8
Rockingham,VA,8.3,34.4
Shenandoah,VA,10.1,37.9
Stafford,VA,5.4,31.2
Warren,VA,10.1,34.9
Alexandria,VA,8.0,29.5
Fairfax City,VA,7.2,31.2
Falls Church,VA,3.3,30.1
Harrisonburg,VA,22.2,25.3
Manassas,VA,7.9,29.7
Manassas Park,VA,6.7,28.8
Winchester,VA,13.2,32.8
Barbour,WV,20.8,36.7
Berkeley,WV,10.0,34.8
Brooke,WV,11.9,37.5
Grant,WV,13.3,41.2
Hampshire,WV,13.7,39.3
Hancock,WV,12.0,39.0
Hardy,WV,13.5,39.9
Harrison,WV,13.6,37.0
Jefferson,WV,7.8,36.0
Lewis,WV,13.9,39.5
Marion,WV,13.2,36.5
Mineral,WV,13.8,37.8
Monongalia,WV,15.2,29.1
Morgan,WV,11.0,40.7
Pendleton,WV,11.5,42.1
Pocahontas,WV,18.1,41.4
Preston,WV,15.7,36.8
Randolph,WV,15.2,39.8
Taylor,WV,13.7,41.4
Tucker,WV,13.8,40.3
Upshur,WV,17.1,37.8
Webster,WV,23.7,41.7
Fairfield,CT,8.8,31.1
Hartford,CT,10.7,32.9
Litchfield,CT,7.4,35.1
Middlesex,CT,7.7,33.1
New Haven,CT,11.2,32.4
New London,CT,8.0,32.6
Tolland,CT,6.9,29.8
Windham,CT,10.4,33.5
Androscoggin,ME,11.7,32.7
Cumberland,ME,8.6,30.3
Kennebec,ME,11.2,33.4
Knox,ME,10.2,38.0
Lincoln,ME,8.8,35.8
Oxford,ME,13.0,35.5
Sagadahoc,ME,9.2,34.5
Waldo,ME,11.6,34.5
York,ME,8.1,32.6
Barnstable,MA,7.7,35.5
Berkshire,MA,10.0,33.0
Bristol,MA,10.1,30.1
Dukes,MA,7.5,32.7
Essex,MA,9.0,29.3
Franklin,MA,10.7,32.1
Hampden,MA,14.3,29.6
Hampshire,MA,9.3,24.9
Middlesex,MA,7.1,28.4
Nantucket,MA,5.3,28.6
Norfolk,MA,5.9,31.0
Plymouth,MA,7.2,32.2
Suffolk,MA,16.5,24.8
Worcester,MA,9.5,30.8
Belknap,NH,7.4,35.1
Carroll,NH,7.5,37.4
Cheshire,NH,8.8,29.2
Grafton,NH,8.6,30.5
Hillsborough,NH,7.1,30.4
Merrimack,NH,6.7,29.4
Rockingham,NH,4.6,33.1
Strafford,NH,8.2,30.9
Sullivan,NH,8.9,34.2
Albany,NY,11.3,30.9
Bronx,NY,24.4,31.4
Columbia,NY,10.2,34.9
Dutchess,NY,8.3,31.6
Essex,NY,10.2,35.8
Kings,NY,17.8,28.1
Nassau,NY,5.7,33.9
New York,NY,16.3,30.8
Putnam,NY,5.7,32.3
Queens,NY,10.3,32.5
Rensselaer,NY,10.4,31.4
Rockland,NY,14.4,31.4
Saratoga,NY,6.3,33.2
Schenectady,NY,10.9,33.1
Suffolk,NY,6.1,30.4
Warren,NY,8.9,33.8
Washington,NY,11.2,33.8
Westchester,NY,7.6,29.4
Bristol,RI,8.2,31.9
Kent,RI,7.5,32.7
Newport,RI,9.5,31.7
Providence,RI,12.4,29.8
Washington,RI,7.8,31.7
Addison,VT,8.4,30.0
Bennington,VT,10.4,30.5
Caledonia,VT,11.0,31.0
Chittenden,VT,8.5,26.7
Lamoille,VT,8.1,29.5
Orange,VT,9.6,33.1
Rutland,VT,12.0,32.4
Washington,VT,8.0,30.1
Windham,VT,11.3,31.0
Windsor,VT,8.6,32.6
Aroostook,ME,15.3,38.7
Franklin,ME,12.9,34.8
Hancock,ME,10.3,36.6
Penobscot,ME,12.1,34.4
Piscataquis,ME,14.6,39.1
Somerset,ME,14.5,36.6
Washington,ME,12.0,37.7
Alcona,MI,14.0,43.3
Alger,MI,12.1,38.3
Alpena,MI,15.6,40.0
Antrim,MI,11.3,39.6
Baraga,MI,12.7,37.4
Charlevoix,MI,8.7,40.0
Cheboygan,MI,12.7,40.1
Chippewa,MI,13.9,35.3
Crawford,MI,13.6,40.4
Delta,MI,11.3,39.0
Dickinson,MI,9.7,38.0
Emmet,MI,8.7,36.7
Gogebic,MI,12.5,41.0
Grand Traverse,MI,8.7,34.8
Houghton,MI,15.0,32.7
Iron,MI,14.2,41.9
Kalkaska,MI,12.0,39.0
Keweenaw,MI,11.2,42.7
Leelanau,MI,7.4,37.5
Luce,MI,19.1,36.7
Mackinac,MI,12.5,39.5
Marquette,MI,13.6,35.8
Menominee,MI,11.4,39.6
Montmorency,MI,15.5,42.8
Ontonagon,MI,14.7,44.5
Oscoda,MI,15.5,41.1
Otsego,MI,9.3,37.2
Presque Isle,MI,13.1,42.6
Schoolcraft,MI,11.9,40.8
Aitkin,MN,11.1,37.0
Anoka,MN,7.1,31.5
Carlton,MN,8.7,29.8
Chisago,MN,6.3,30.9
Cook,MN,8.7,34.4
Dakota,MN,4.8,28.7
Hennepin,MN,9.3,27.5
Isanti,MN,6.7,30.7
Kanabec,MN,9.1,33.0
Lake,MN,8.0,33.7
Mille Lacs,MN,9.2,31.4
Pine,MN,10.2,33.6
Ramsey,MN,12.6,28.1
St. Louis,MN,10.1,31.6
Scott,MN,4.3,29.6
Washington,MN,4.4,30.0
Coos,NH,13.1,34.8
Clinton,NY,11.1,32.0
Essex,VT,12.7,37.2
Franklin,VT,8.9,30.4
Grand Isle,VT,7.4,33.1
Orleans,VT,10.6,33.2
Ashland,WI,12.5,36.3
Barron,WI,10.0,36.5
Bayfield,WI,11.0,37.1
Burnett,WI,10.7,39.5
Chippewa,WI,9.4,34.5
Clark,WI,13.1,35.4
Door,WI,7.8,38.8
Douglas,WI,10.0,35.2
Dunn,WI,10.1,32.1
Eau Claire,WI,9.8,30.6
Florence,WI,10.6,40.0
Forest,WI,12.0,37.2
Iron,WI,11.2,40.5
Langlade,WI,10.7,37.8
Lincoln,WI,7.7,36.6
Marathon,WI,6.7,34.9
Marinette,WI,9.4,39.4
Menominee,WI,22.6,32.7
Oconto,WI,7.6,35.6
Oneida,WI,7.8,36.7
Pierce,WI,7.3,30.6
Polk,WI,8.9,38.3
Price,WI,11.2,40.8
Rusk,WI,11.7,38.4
St. Croix,WI,4.9,32.3
Sawyer,WI,12.3,39.5
Shawano,WI,10.3,36.0
Taylor,WI,9.6,37.3
Vilas,WI,9.7,40.6
Washburn,WI,10.4,38.6
